Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time
27710,7601,Environmental,Major,2020-07-04 12:22:27,Indeterminate,0,BCF OPERATION DEGRADED,PLMN-PLMN/BSC-402056/BCF-196,BCF,false,,,false,,,TS1474GD_S2,,TS1474,null,,,00 00 00 B4 00 00,Module power cable connections are incorrectly configured,00 00 00 B4 00 00,,,,false,false,,false,1,94046628,2020-07-04 12:22:44,2020-07-04 12:22:27,,2020-07-04 12:22:27 +05:00,2020-07-04 12:22:27 +05:00,,
51c375047b6c050424be342c9b566de536df6d62,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-31,WCEL,false,,,false,,,NM1151U31,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:31,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049756,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
87e5826425ce852ef4d45d87b7003f42a9569efb,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-21,WCEL,false,,,false,,,NM1151U21,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:21,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049757,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
8856827847e1c5496a22e3f798361e652a5db773,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-23,WCEL,false,,,false,,,NM1151U23,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:23,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049758,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
851934a37393b9d2f7a76f035f8a03e66baf88f5,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-33,WCEL,false,,,false,,,NM1151U33,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:33,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049760,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
f4405719af0e2934239acad400647e3e379e58ef,7116,Quality Of Service,Major,2020-07-04 12:44:49,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-32,WCEL,false,,,false,,,NM1151U32,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:32,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049761,2020-07-04 12:44:56,2020-07-04 12:44:49,,2020-07-04 12:44:49 +05:00,2020-07-04 12:44:49 +05:00,,
e95746d6de89fabe25245e67d32573d67d692c8f,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-22,WCEL,false,,,false,,,NM1151U22,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:22,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049762,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
5a39f61154fcd42e8a0fba23b34c906c160d31b7,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-13,WCEL,false,,,false,,,NM1151U13,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:13,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049763,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
8a62419f655afe0e09b7ae6939af6607a8833db0,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-12,WCEL,false,,,false,,,NM1151U12,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:12,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049764,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
2c47b4070d38734e8cc1705c7a3bfc7a48f5dd98,7116,Quality Of Service,Major,2020-07-04 12:44:50,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/RNC-16/WBTS-4151/WCEL-11,WCEL,false,,,false,,,NM1151U11,,,null,,,146 additionalFaultID=146,degraded_cells=WCDMA:11,DSP allocation to PIC not possible because DSP is occupied by some other users,,,,false,false,,false,1,94049765,2020-07-04 12:44:56,2020-07-04 12:44:50,,2020-07-04 12:44:50 +05:00,2020-07-04 12:44:50 +05:00,,
