Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time
40259,7705,Communication,Minor,2020-07-03 16:41:37,Indeterminate,0,D-CHANNEL FAILURE,PLMN-PLMN/BSC-402054/BCF-252/BTS-605/TRX-6,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93876752,2020-07-03 16:41:41,2020-07-03 16:41:37,,2020-07-03 16:41:37 +05:00,2020-07-03 16:41:37 +05:00,,
40254,7705,Communication,Minor,2020-07-03 16:41:37,Indeterminate,0,D-CHANNEL FAILURE,PLMN-PLMN/BSC-402054/BCF-252/BTS-609/TRX-23,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93876755,2020-07-03 16:41:41,2020-07-03 16:41:37,,2020-07-03 16:41:37 +05:00,2020-07-03 16:41:37 +05:00,,
40250,7705,Communication,Minor,2020-07-03 16:41:37,Indeterminate,0,D-CHANNEL FAILURE,PLMN-PLMN/BSC-402054/BCF-252/BTS-607/TRX-15,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93876756,2020-07-03 16:41:41,2020-07-03 16:41:37,,2020-07-03 16:41:37 +05:00,2020-07-03 16:41:37 +05:00,,
c709fbfd5779a6e6e3e63708fe1b831e682b9edb,7103,Environmental,Major,2020-07-03 16:42:07,Indeterminate,0,5. Module fail,PLMN-PLMN/MRBTS-40925/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-3,MRBTS,false,,,false,,,NM0925S_(10)_FG_S0,,NM0925,null,,,1404 path=/SMOD_R-1/EAC_R-3 additionalFaultID=1404 EAC_IN-5,affected_cells=none,5. Module fail,,,,false,false,,false,1,93876846,2020-07-03 16:42:14,2020-07-03 16:42:07,,2020-07-03 16:42:07 +05:00,2020-07-03 16:42:07 +05:00,,
88529e8dc0157816c482cc001390da32f99f1258,7103,Environmental,Major,2020-07-03 16:42:18,Indeterminate,0,4. Temp High,PLMN-PLMN/MRBTS-11395/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-1,MRBTS,false,,,false,,,TS1395S_S1,,TS1395,null,,,1403 path=/SMOD_R-1/EAC_R-1 additionalFaultID=1403 EAC_IN-4,affected_cells=none,4. Temp High,,,,false,false,,false,1,93876859,2020-07-03 16:42:21,2020-07-03 16:42:18,,2020-07-03 16:42:18 +05:00,2020-07-03 16:42:18 +05:00,,
043079f551978ff05e048fdf7dcfd8a1259cc125,7103,Environmental,Critical,2020-07-03 16:43:11,Indeterminate,0,1. No phase,PLMN-PLMN/MRBTS-11395/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-11,MRBTS,false,,,false,,,TS1395S_S1,,TS1395,null,,,1400 path=/SMOD_R-1/EAC_R-11 additionalFaultID=1400 EAC_IN-1,affected_cells=none,1. No phase,,,,false,false,,false,1,93877031,2020-07-03 16:43:21,2020-07-03 16:43:11,,2020-07-03 16:43:11 +05:00,2020-07-03 16:43:11 +05:00,,
18d1f4aed76a65473a424a32465be36dfff35abe,7103,Environmental,Critical,2020-07-03 16:43:32,Indeterminate,0,2. Mains low,PLMN-PLMN/MRBTS-40913/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-1,MRBTS,false,,,false,,,NM0913S_S0,,NM0913,null,,,1401 path=/SMOD_R-1/EAC_R-1 additionalFaultID=1401 EAC_IN-2,affected_cells=none,2. Mains low,,,,false,false,,false,1,93877078,2020-07-03 16:43:40,2020-07-03 16:43:32,,2020-07-03 16:43:32 +05:00,2020-07-03 16:43:32 +05:00,,
e9be24055deb4e04f2876c5908a10f1eb1989355,7103,Environmental,Critical,2020-07-03 16:43:40,Indeterminate,0,1. No phase,PLMN-PLMN/MRBTS-40913/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-2,MRBTS,false,,,false,,,NM0913S_S0,,NM0913,null,,,1400 path=/SMOD_R-1/EAC_R-2 additionalFaultID=1400 EAC_IN-1,affected_cells=none,1. No phase,,,,false,false,,false,1,93877096,2020-07-03 16:43:50,2020-07-03 16:43:40,,2020-07-03 16:43:40 +05:00,2020-07-03 16:43:40 +05:00,,
6213f91503782c409f19d11306c61a652ab07ea2,7103,Environmental,Critical,2020-07-03 16:43:49,Indeterminate,0,6. Mains power,PLMN-PLMN/MRBTS-40913/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-3,MRBTS,false,,,false,,,NM0913S_S0,,NM0913,null,,,1405 path=/SMOD_R-1/EAC_R-3 additionalFaultID=1405 EAC_IN-6,affected_cells=none,6. Mains power,,,,false,false,,false,1,93877097,2020-07-03 16:43:50,2020-07-03 16:43:49,,2020-07-03 16:43:49 +05:00,2020-07-03 16:43:49 +05:00,,
22245,7406,Environmental,Major,2020-07-03 16:45:03,Indeterminate,0,MAINS POWER,PLMN-PLMN/BSC-407977/BCF-1210,BCF,false,,,false,,,SR2070GD_S2,,SR2070,null,,,FF FF FF FF FF FF,EXTERNAL AL 6,,,,,false,false,,false,1,93877407,2020-07-03 16:45:15,2020-07-03 16:45:03,,2020-07-03 16:45:03 +05:00,2020-07-03 16:45:03 +05:00,,
